stop_id,stop_name
784,Grand & Ashland
785,Grand & Paulina
786,Grand & Wood
787,Grand & Wolcott
788,Grand & Damen
789,Grand & Hoyne
790,Grand & Leavitt
791,Grand & Oakley
794,Grand & Rockwell
795,Grand & Talman
796,Grand & Washtenaw
797,Grand & California
798,Grand & Chicago
800,Grand & Sacramento
802,Grand & Kedzie
805,Grand & Thomas
808,Grand & Division
809,Grand & Lawndale
811,Grand & Springfield
812,Grand & Pulaski
813,Grand & Karlov
814,Grand & Keeler
815,Grand & Kildare
817,Grand & Kostner
818,Grand & Kilbourn
819,Grand & Kenton
820,4700 W Grand
821,Grand & Cicero
822,Grand & Lamon
823,Grand & Leclaire/Armitage
826,Grand & Lockwood
828,5500 W Grand
829,Grand & Central
830,Grand & Major
832,Grand & Marmora
833,Grand & Austin
834,Grand & Meade
836,Grand & Mobile
837,Grand & Narragansett
838,Grand & Natchez
840,Grand & Normandy
842,Grand & New England
844,Grand & Sayre
845,Neva & North Ave
846,North Ave & Forest
847,North Ave & Kenilworth
848,North Ave & Oak Park
849,North Ave & Linden
850,North Ave & East
851,North Ave & Elmwood
852,North Ave & Narragansett
854,North Ave & Ridgeland
856,North Ave & Lombard
857,North Ave & Taylor
860,North Ave & Menard
861,North Ave & Major
863,North Ave & Linder
865,North Ave & Lockwood
867,North Ave & Leclaire
868,North Ave & Lavergne
870,North Ave & Cicero
871,North Ave & Kilpatrick
874,North Ave & Kostner
875,North Ave & Grand
879,North Ave & Springfield
880,North Ave & Hamlin
881,North Ave & Lawndale
882,North Ave & Central Park
883,North Ave & St. Louis
885,North Ave & Spaulding
887,North Ave & Albany
888,North Ave & Humboldt
889,North Ave & Francisco
890,North Ave & California
891,North Ave & Washtenaw
893,North Ave & Campbell
894,North Ave & Western
895,North Ave & Oakley
896,North Ave & Leavitt
897,North Ave & Hoyne
898,North Ave & Milwaukee/Damen (Blue Line)
899,North Ave & Wolcott
900,North Ave & Wood
901,North Ave & Paulina
902,North Ave & Ashland
903,North Ave & Bosworth
910,North Ave & Sheffield
913,North Ave & Clybourn/Halsted (Red Line)
915,North Ave & Orchard
916,North Ave & Larrabee
917,North Ave & Cleveland
918,North Ave & Sedgwick (Brown Line)
919,North Ave & North Park
920,North Ave & Wells
923,North Ave & Clark Terminal
924,North Ave & Clark
926,North Ave & Wells
927,North Ave & Sedgwick (Brown Line)
928,North Ave & Cleveland
929,North Ave & Larrabee
933,North Ave & Fremont
934,North Ave & Kingsbury
939,North Ave & Bosworth
941,North Ave & Paulina
942,North Ave & Wood
943,North Ave & Wolcott
945,North Ave & Milwaukee/Damen (Blue Line)
946,North Ave & Hoyne
947,North Ave & Leavitt
949,North Ave & Western
950,North Ave & Campbell
951,North Ave & Rockwell
954,North Ave & Francisco
957,North Ave & Albany
958,North Ave & Kedzie
959,North Ave & Spaulding
961,North Ave & Drake
963,North Ave & Lawndale
964,North Ave & Hamlin
965,North Ave & Springfield
967,North Ave & Karlov
968,North Ave & Keeler
971,North Ave & Kostner/Grand
974,North Ave & Kilpatrick
975,North Ave & Cicero
976,North Ave & Lamon
977,North Ave & Lavergne
978,North Ave & Leclaire
981,North Ave & Long
984,North Ave & Major
985,North Ave & Menard
986,North Ave & Mayfield
987,North Ave & Austin
988,North Ave & Meade
989,North Ave & Melvina
990,North Ave & Merrimac
992,North Ave & Narragansett
993,North Ave & Nagle
996,North Ave & Natoma
997,North Ave & Oak Park
998,North Ave & New England
999,North Ave & Sayre
1000,North Ave & Nordica
1001,North Ave & Neva
1002,Harlem & North Ave
1004,Harlem & Wabansia
1005,Wabansia & Neva
1011,Howard & Sheridan
1012,Sheridan & Birchwood
1014,Sheridan & Jarvis
1015,Sheridan & Sherwin
1016,Sheridan & Chase
1017,Sheridan & Touhy
1018,Sheridan & Estes
1020,Sheridan & Lunt
1021,Sheridan & Morse
1023,Sheridan & Pratt
1025,Sheridan & North Shore
1027,Sheridan & Loyola (Red Line)
1028,Sheridan & Arthur
1029,Sheridan & Broadway/Devon
1030,Sheridan & Winthrop
1031,Sheridan & Kenmore
1032,Sheridan & Rosemont
1033,Sheridan & Granville
1034,Sheridan & Glenlake
1035,Sheridan & Thorndale
1036,Sheridan & Ardmore
1037,Sheridan & Hollywood
1038,Sheridan & Bryn Mawr
1039,Sheridan & Catalpa
1040,Sheridan & Balmoral
1041,Sheridan & Berwyn
1042,Sheridan & Foster
1043,Sheridan & Winona
1044,Sheridan & Argyle
1045,Sheridan & Ainslie
1047,Sheridan & Lawrence
1048,Sheridan & Leland
1049,Sheridan & Wilson
1050,Sheridan & Sunnyside
1051,Sheridan & Montrose
1052,Sheridan & Broadway/Montrose
1053,4242 N Sheridan
1054,Sheridan & Buena
1055,Sheridan & Cuyler
1056,Sheridan & Irving Park
1057,Sheridan & Sheffield
1058,Sheridan & Fremont
1060,Sheridan & Pine Grove
1061,Lake Shore & Grace
1062,Lake Shore & Waveland
1063,Lake Shore & Addison
1064,Lake Shore & Brompton
1065,Lake Shore & Cornelia
1066,Lake Shore & Stratford
1067,Lake Shore & Hawthorne
1068,Lake Shore & Roscoe
1070,Lake Shore & Melrose
1072,Sheridan & Briar
1073,Sheridan & Barry
